Sheet: 0
A1:,B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:
A2:,B2: FAM UPGRADE - WAVE 4,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:
A3:,B3:,C3:,D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:
A4:,B4: 1,C4: 2,D4:,E4: 1,F4: 2,G4: 3,H4: 4,I4: 5,J4: 6,K4:,L4: 7,M4:,N4: 1,O4: 2,P4:
A5:,B5: FAM Wave 4,C5: 1,D5:,E5: FAM Wave 4,F5:,G5:,H5:,I5:,J5:,K5:,L5: Conso.,M5:,N5: Common,O5:,P5:
A6:,B6:,C6: 2,D6:,E6: -,F6:,G6:,H6: Detail,I6:,J6:,K6:,L6: -,M6:,N6: -,O6:,P6:
A7:,B7:,C7: 3,D7:,E7: Item,F7: -,G7: -,H7: -,I7: Priority,J7: Note,K7:,L7: -,M7:,N7: -,O7:,P7:
A8:,B8:,C8: 1,D8:,E8: FAM Wave 4,F8: Enhancement,G8: Tài sản,H8: Dashboard tài sản hiển thị theo hướng visualize; có thể customize theo nhiều tiêu chí,I8: 1,J8: Login vào là nhìn thấy luôn.\nCần liệt kê rõ ràng role ,K8:,L8: [1](→1),M8:,N8:,O8:,P8:
A9:,B9:,C9: 2,D9:,E9:,F9:,G9:,H9: Ẩn hiện tùy chọn tài sản vô hiệu hóa khỏi danh sách tài sản,I9: 2,J9:,K9:,L9:,M9:,N9:,O9:,P9:
A10:,B10:,C10: 3,D10:,E10:,F10:,G10:,H10: Đổi vị trí hiển thị một số cột trong danh sách tài sản,I10: 2,J10:,K10:,L10:,M10:,N10:,O10:,P10:
A11:,B11:,C11: 4,D11:,E11:,F11:,G11: Cấp tài sản,H11: Upload phiếu cấp tài sản theo danh sách,I11: 3,J11:,K11:,L11:,M11:,N11:,O11:,P11:
A12:,B12:,C12: 5,D12:,E12:,F12:,G12: Auto xác nhận phiếu cấp tài sản,H12: Sau 20 ngày  kể từ khi request bàn giao tài sản được tạo,  user không có phản hồi, Hệ thống tự động xác nhận.,I12: 2,J12:,K12:,L12:,M12:,N12:,O12:,P12:
A13:,B13:,C13: 6,D13:,E13:,F13:,G13: Intergration,H13: Atuto đồng bộ OMS khi orgchart thay đổi,I13: 2,J13:,K13:,L13:,M13:,N13:,O13:,P13:
A14:,B14:,C14: 7,D14:,E14:,F14:,G14:,H14: Đồng bộ tiêu đề PO từ EMS sang FAM,I14: 2,J14:,K14:,L14:,M14:,N14:,O14:,P14:
A15:,B15:,C15: 8,D15:,E15:,F15:,G15:,H15: Tài sản từ EMS, cột "Thông tin thời gian đưa vào sử dụng, Thời gian bắt đầu bảo hành" = thời gian PO được phê duyệt .,I15: 2,J15:,K15:,L15:,M15:,N15:,O15:,P15:
A16:,B16:,C16: 9,D16:,E16:,F16:,G16: Thanh lý,H16: Bổ sung luồng phê duyệt cho ATM\n,I16: 3,J16: Thêm thông tin as is và to be,K16:,L16:,M16:,N16:,O16:,P16:
A17:,B17:,C17: 10,D17:,E17:,F17: New launch,G17: Modul kho,H17: Xuất - nhập kho tài sản\nTiếp nhận yêu cầu xuất - nhập kho từ yêu cầu cấp ts, thanh lý tài sản, điều chuyển ts về kho.,I17: 1,J17:,K17:,L17: [5](→5),M17:,N17:,O17:,P17:
A18:,B18:,C18: 11,D18:,E18:,F18:,G18: Modul sửa chữa tài sản,H18: Tạo yêu cầu sửa chữa tài sản thực hiện trên FAM  => Hệ thống tạo yêu cầu (gửi link) sang Hệ thống ITSM và Cổng hỗ trợ chi nhánh trên intranet. Hoàn tất, yêu cầu đc feed back qua FAM,I18: 4,J18: Cần Clear qui trình ,K18:,L18: [3](→3),M18:,N18:,O18:,P18:
A19:,B19:,C19: All,D19:,E19:,F19:,G19:,H19:,I19:,J19:,K19:,L19:,M19:,N19:,O19:,P19:
A20:,B20:,C20:,D20:,E20:,F20:,G20:,H20:,I20:,J20:,K20:,L20:,M20:,N20:,O20:,P20:
A21:,B21:,C21:,D21:,E21:,F21:,G21:,H21:,I21:,J21:,K21:,L21:,M21:,N21:,O21:,P21:
A22:,B22: Common,C22: -,D22:,E22:,F22:,G22:,H22:,I22:,J22:,K22:,L22:,M22:,N22:,O22:,P22:
A23:,B23:,C23:,D23:,E23:,F23:,G23:,H23:,I23:,J23:,K23:,L23:,M23:,N23:,O23:,P23:
A24:,B24:,C24:,D24:,E24:,F24:,G24:,H24:,I24:,J24:,K24:,L24:,M24:,N24:,O24:,P24:
A25:,B25:,C25:,D25:,E25:,F25:,G25:,H25:,I25:,J25:,K25:,L25:,M25:,N25:,O25:,P25:
