Sheet: 5.1.1b (2)
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A2:,B2: ĐIỀU CHUYỂN VỀ KHO,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:,Q2:,R2:,S2:,T2:,U2:,V2:
A3:,B3: #REF!,C3:,D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:,Q3:,R3:,S3:,T3:,U3:,V3:
A4:,B4:,C4:,D4:,E4:,F4:,G4:,H4:,I4:,J4:,K4:,L4:,M4:,N4:,O4:,P4:,Q4:,R4:,S4:,T4:,U4:,V4:
A5:,B5: 1,C5: 2,D5:,E5: 1,F5: 2,G5: 3,H5: 4,I5: 5,J5: 6,K5: 7,L5: 8,M5: 9,N5: 10,O5: 11,P5: 12,Q5: 13,R5: 14,S5: 15,T5: 16,U5: 17,V5:
A6:,B6: 1. Nhập thông tin tìm kiếm yêu cầu,C6: 1,D6:,E6: Data,F6:,G6:,H6:,I6:,J6:,K6:,L6:,M6:,N6:,O6:,P6:,Q6:,R6: Status,S6: Notification,T6: Template,U6: Biz rule,V6:
A7:,B7:,C7: 2,D7:,E7: Tab/section,F7: Operator,G7: Action,H7: Field name VN,I7: M/O,J7: Field type,K7: Editable,L7: Max length,M7: Format,N7: Default value,O7: LOV,P7: Data source,Q7: Data rule,R7:,S7:,T7:,U7:,V7:
A8:,B8:,C8: AMP,D8:,E8: Tìm kiếm yêu cầu,F8:,G8:,H8:,I8:,J8:,K8:,L8:,M8:,N8:,O8:,P8:,Q8:,R8:,S8:,T8:,U8:,V8:
A9:,B9:,C9:,D9:,E9:,F9: User,G9: Input,H9: Mã yêu cầu,I9: O,J9: Text,K9: Y,L9: 20,M9:,N9:,O9:,P9:,Q9:,R9:,S9:,T9:,U9:,V9:
A10:,B10:,C10:,D10:,E10:,F10: User,G10: Input,H10: Tiêu đề,I10: O,J10: Text,K10: Y,L10: 100,M10:,N10:,O10:,P10:,Q10:,R10:,S10:,T10:,U10:,V10:
A11:,B11:,C11:,D11:,E11:,F11: User,G11: Select,H11: Người xử lý,I11: O,J11: List,K11: Y,L11: 20,M11:,N11:,O11:,P11:,Q11:,R11:,S11:,T11:,U11:,V11:
A12:,B12:,C12:,D12:,E12:,F12: User,G12: Select,H12: Loại điều chuyển,I12: O,J12: List,K12: Y,L12: 20,M12:,N12:,O12:,P12:,Q12:,R12:,S12:,T12:,U12:,V12:
A13:,B13:,C13:,D13:,E13:,F13: User,G13: Select,H13: Trạng thái,I13: O,J13: List,K13: Y,L13: 20,M13:,N13:,O13:,P13:,Q13:,R13:,S13:,T13:,U13:,V13:
A14:,B14:,C14:,D14:,E14:,F14: User,G14: Select,H14: Người tạo,I14: O,J14: List,K14: Y,L14: 20,M14:,N14:,O14:,P14:,Q14:,R14:,S14:,T14:,U14:,V14:
A15:,B15:,C15:,D15:,E15:,F15: User,G15: Select,H15: Người đề xuất,I15: O,J15: List,K15: Y,L15: 20,M15:,N15:,O15:,P15:,Q15:,R15:,S15:,T15:,U15:,V15:
A16:,B16:,C16:,D16:,E16:,F16: User,G16: Input,H16: Ngày tạo,I16: O,J16: Date,K16: Y,L16: 50,M16:,N16:,O16:,P16:,Q16:,R16:,S16:,T16:,U16:,V16:
A17:,B17:,C17:,D17:,E17:,F17: User,G17: Select,H17: Đơn vị điều chuyển,I17: O,J17: List,K17: Y,L17: 50,M17:,N17:,O17:,P17:,Q17:,R17:,S17:,T17:,U17:,V17:
A18:,B18:,C18:,D18:,E18:,F18: User,G18: Select,H18: Đơn vị nhận điều chuyển,I18: O,J18: List,K18: Y,L18: 50,M18:,N18:,O18:,P18:,Q18:,R18:,S18:,T18:,U18:,V18:
A19:,B19: 2. Hiển thị kết quả tìm kiếm,C19: Hệ thống,D19:,E19: Danh sách yêu cầu,F19:,G19:,H19:,I19:,J19:,K19:,L19:,M19:,N19:,O19:,P19:,Q19:,R19:,S19:,T19:,U19:,V19:
A20:,B20:,C20:,D20:,E20:,F20: System,G20: Display,H20: Mã yêu cầu,I20: M,J20: Text,K20: N,L20: 20,M20:,N20:,O20:,P20:,Q20:,R20:,S20:,T20:,U20:,V20:
A21:,B21:,C21:,D21:,E21:,F21: System,G21: Display,H21: Tiêu đề,I21: M,J21: Text,K21: N,L21: 100,M21:,N21:,O21:,P21:,Q21:,R21:,S21:,T21:,U21:,V21:
A22:,B22:,C22:,D22:,E22:,F22: System,G22: Display,H22: Người tạo,I22: M,J22: Text,K22: N,L22: 20,M22:,N22:,O22:,P22:,Q22:,R22:,S22:,T22:,U22:,V22:
A23:,B23:,C23:,D23:,E23:,F23: System,G23: Display,H23: Trạng thái,I23: M,J23: Text,K23: N,L23: 20,M23:,N23:,O23:,P23:,Q23:,R23:,S23:,T23:,U23:,V23:
A24:,B24:,C24:,D24:,E24:,F24: System,G24: Display,H24: Loại điều chuyển,I24: M,J24: Text,K24: N,L24: 20,M24:,N24:,O24:,P24:,Q24:,R24:,S24:,T24:,U24:,V24:
A25:,B25:,C25:,D25:,E25:,F25: System,G25: Display,H25: Người xử lý,I25: O,J25: Text,K25: N,L25: 20,M25:,N25:,O25:,P25:,Q25:,R25:,S25:,T25:,U25:,V25:
A26:,B26:,C26:,D26:,E26:,F26: System,G26: Display,H26: Đơn vị điều chuyển,I26: O,J26: Text,K26: N,L26: 20,M26:,N26:,O26:,P26:,Q26:,R26:,S26:,T26:,U26:,V26:
A27:,B27:,C27:,D27:,E27:,F27: System,G27: Display,H27: Đơn vị nhận điều chuyển,I27: O,J27: Text,K27: N,L27: 50,M27:,N27:,O27:,P27:,Q27:,R27:,S27:,T27:,U27:,V27:
A28:,B28:,C28:,D28:,E28:,F28:,G28:,H28:,I28:,J28:,K28:,L28:,M28:,N28:,O28:,P28:,Q28:,R28:,S28:,T28:,U28:,V28:
A29:,B29: 3. Chọn yêu cầu, xem,C29: AMP,D29:,E29:,F29: User,G29: Select,H29: Yêu cầu,I29:,J29:,K29:,L29:,M29:,N29:,O29:,P29:,Q29:,R29:,S29:,T29:,U29:,V29:
A30:,B30:,C30:,D30:,E30: Thông tin chung,F30:,G30:,H30:,I30:,J30:,K30:,L30:,M30:,N30:,O30:,P30:,Q30:,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: System,G31: Display,H31: Loại điều chuyển,I31: M,J31: Text,K31: N,L31:,M31:,N31:,O31:,P31:,Q31:,R31:,S31:,T31:,U31:,V31:
