Sheet: 5.3.1b
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A2:,B2: HỦY YÊU CẦU NHẬP KHO,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:,Q2:,R2:,S2:,T2:,U2:,V2:
A3:,B3: Điều kiện:,C3: 1. Yêu cầu nhập kho gửi đi thành công, có trạng thái <> "Đã nhập kho",D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:,Q3:,R3:,S3:,T3:,U3:,V3:
A4:,B4:,C4:,D4:,E4:,F4:,G4:,H4:,I4:,J4:,K4:,L4:,M4:,N4:,O4:,P4:,Q4:,R4:,S4:,T4:,U4:,V4:
A5:,B5:,C5:,D5:,E5:,F5:,G5:,H5:,I5:,J5:,K5:,L5:,M5:,N5:,O5:,P5:,Q5:,R5:,S5:,T5:,U5:,V5:
A6:,B6: 1,C6: 2,D6:,E6: 1,F6: 2,G6: 3,H6: 4,I6: 5,J6: 6,K6: 7,L6: 8,M6: 9,N6: 10,O6: 11,P6: 12,Q6: 13,R6: 14,S6: 15,T6: 16,U6: 17,V6:
A7:,B7: 1. Nhập thông tin tìm kiếm yêu cầu,C7: 1,D7:,E7: Data,F7:,G7:,H7:,I7:,J7:,K7:,L7:,M7:,N7:,O7:,P7:,Q7:,R7: Status,S7: Notification,T7: Template,U7: Biz rule,V7:
A8:,B8:,C8: 2,D8:,E8: Tab/section,F8: Operator,G8: Action,H8: Field name VN,I8: M/O,J8: Field type,K8: Editable,L8: Max length,M8: Format,N8: Default value,O8: LOV,P8: Data source,Q8: Data rule,R8:,S8:,T8:,U8:,V8:
A9:,B9:,C9: AMP,D9:,E9: Tìm kiếm yêu cầu,F9:,G9:,H9:,I9:,J9:,K9:,L9:,M9:,N9:,O9:,P9:,Q9:,R9:,S9:,T9:,U9:,V9:
A10:,B10:,C10:,D10:,E10:,F10: User,G10: Input,H10: Số yêu cầu,I10: O,J10: Text,K10: Y,L10: 20,M10:,N10:,O10:,P10:,Q10:,R10:,S10:,T10:,U10:,V10:
A11:,B11:,C11:,D11:,E11:,F11: User,G11: Input,H11: Ngày tạo,I11: O,J11: Date,K11: Y,L11: 20,M11:,N11:,O11:,P11:,Q11:,R11:,S11:,T11:,U11:,V11:
A12:,B12:,C12:,D12:,E12:,F12: User,G12: Input,H12: Tiêu đề,I12: O,J12: Text,K12: Y,L12: 150,M12:,N12:,O12:,P12:,Q12:,R12:,S12:,T12:,U12:,V12:
A13:,B13:,C13:,D13:,E13:,F13: User,G13: Select,H13: Người tạo,I13: O,J13: List,K13: Y,L13: 20,M13:,N13:,O13:,P13:,Q13:,R13:,S13:,T13:,U13:,V13:
