Sheet: 5.4.1b 
A1: [<<<](→0),B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:,L1:,M1:,N1:,O1:,P1:,Q1:,R1:,S1:,T1:,U1:,V1:
A2:,B2: CẤP TÀI SẢN,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:,L2:,M2:,N2:,O2:,P2:,Q2:,R2:,S2:,T2:,U2:,V2:
A3:,B3: Tạo yêu cầu xuất kho,C3:,D3:,E3:,F3:,G3:,H3:,I3:,J3:,K3:,L3:,M3:,N3:,O3:,P3:,Q3:,R3:,S3:,T3:,U3:,V3:
A4:,B4:,C4:,D4:,E4:,F4:,G4:,H4:,I4:,J4:,K4:,L4:,M4:,N4:,O4:,P4:,Q4:,R4:,S4:,T4:,U4:,V4:
A5:,B5: 1,C5: 2,D5:,E5: 1,F5: 2,G5: 3,H5: 4,I5: 5,J5: 6,K5: 7,L5: 8,M5: 9,N5: 10,O5: 11,P5: 12,Q5: 13,R5: 14,S5: 15,T5: 16,U5: 17,V5:
A6:,B6: 1. Tạo yêu cầu xuất kho,C6: 1,D6:,E6: Data,F6:,G6:,H6:,I6:,J6:,K6:,L6:,M6:,N6:,O6:,P6:,Q6:,R6: Status,S6: Notification,T6: Template,U6: Biz rule,V6:
A7:,B7:,C7: 2,D7:,E7: Tab/section,F7: Operator,G7: Action,H7: Field name VN,I7: M/O,J7: Field type,K7: Editable,L7: Max length,M7: Format,N7: Default value,O7: LOV,P7: Data source,Q7: Data rule,R7:,S7:,T7:,U7:,V7:
A8:,B8:,C8: Hệ thống,D8:,E8: Hệ thống tự động tạo yêu cầu xuất kho theo thông tin trên phiếu cấp.,F8:,G8:,H8:,I8:,J8:,K8:,L8:,M8:,N8:,O8:,P8:,Q8:,R8:,S8:,T8:,U8:,V8:
A9:,B9:,C9:,D9:,E9: Thông tin chung,F9:,G9:,H9:,I9:,J9:,K9:,L9:,M9:,N9:,O9:,P9:,Q9:,R9:,S9:,T9:,U9:,V9:
A10:,B10:,C10:,D10:,E10:,F10: System,G10: Display,H10: Số yêu cầu,I10: M,J10: Text,K10: N,L10: 50,M10: XK.YY.xxxx,N10:,O10:,P10:,Q10: YY = Year, xxxx = số chạy từ 1-9999 không dùng lại,R10:,S10:,T10:,U10:,V10:
A11:,B11:,C11:,D11:,E11:,F11: System,G11: Display,H11: Ngày tạo,I11: M,J11: Date,K11: N,L11: 50,M11: MM.DD.YYYY,N11: Today,O11:,P11:,Q11:,R11:,S11:,T11:,U11:,V11:
A12:,B12:,C12:,D12:,E12:,F12: System,G12: Input,H12: Tiêu đề,I12: O,J12: Text,K12: Y,L12: 150,M12:,N12:,O12:,P12:,Q12: =Tiêu đề RQ Cấp/Thanh lý,R12:,S12:,T12:,U12:,V12:
A13:,B13:,C13:,D13:,E13: DS tài sản xuất kho,F13:,G13:,H13:,I13:,J13:,K13:,L13:,M13:,N13:,O13:,P13:,Q13: = Danh mục tài sản trong phiếu cấp/thanh lý,R13:,S13:,T13:,U13:,V13:
A14:,B14:,C14:,D14:,E14:,F14: System,G14: Display,H14: Mã tài sản,I14: M,J14:,K14: N,L14:,M14:,N14:,O14:,P14:,Q14: Hiển thị mặc định,R14:,S14:,T14:,U14:,V14:
A15:,B15:,C15:,D15:,E15:,F15: System,G15: Display,H15: Tên Tài sản,I15: M,J15:,K15: N,L15:,M15:,N15:,O15:,P15:,Q15: Hiển thị mặc định,R15:,S15:,T15:,U15:,V15:
A16:,B16:,C16:,D16:,E16:,F16: System,G16: Display,H16: Mô tả TS,I16: M,J16:,K16: N,L16:,M16:,N16:,O16:,P16:,Q16: Hiển thị mặc định,R16:,S16:,T16:,U16:,V16:
A17:,B17:,C17:,D17:,E17:,F17: System,G17: Display,H17: Trạng thái TS,I17: M,J17:,K17: N,L17:,M17:,N17:,O17:,P17:,Q17: Hiển thị mặc định,R17:,S17:,T17:,U17:,V17:
A18:,B18:,C18:,D18:,E18:,F18: System,G18: Display,H18: Phân nhóm TS (group name),I18: M,J18:,K18: N,L18:,M18:,N18:,O18:,P18:,Q18: Hiển thị mặc định,R18:,S18:,T18:,U18:,V18:
A19:,B19:,C19:,D19:,E19:,F19: System,G19: Display,H19: Nhóm TS (CAT1),I19: M,J19:,K19: N,L19:,M19:,N19:,O19:,P19:,Q19: Hiển thị mặc định,R19:,S19:,T19:,U19:,V19:
A20:,B20:,C20:,D20:,E20:,F20: System,G20: Display,H20: Số PO,I20: M,J20:,K20: N,L20:,M20:,N20:,O20:,P20:,Q20: Hiển thị mặc định,R20:,S20:,T20:,U20:,V20:
A21:,B21:,C21:,D21:,E21:,F21: System,G21: Display,H21: Tên nhà cung cấp,I21: O,J21:,K21: N,L21:,M21:,N21:,O21:,P21:,Q21: Ẩn hiện tùy biến,R21:,S21:,T21:,U21:,V21:
A22:,B22:,C22:,D22:,E22:,F22: System,G22: Display,H22: Nguyên giá TS (VAT incl),I22: M,J22:,K22: N,L22:,M22:,N22:,O22:,P22:,Q22: Ẩn hiện tùy biến,R22:,S22:,T22:,U22:,V22:
A23:,B23:,C23:,D23:,E23:,F23: System,G23: Display,H23: Mã TS liên quan,I23: O,J23:,K23: N,L23:,M23:,N23:,O23:,P23:,Q23: Ẩn hiện tùy biến,R23:,S23:,T23:,U23:,V23:
A24:,B24:,C24:,D24:,E24:,F24: System,G24: Display,H24: Mô tả TS liên quan,I24: O,J24:,K24: N,L24:,M24:,N24:,O24:,P24:,Q24: Ẩn hiện tùy biến,R24:,S24:,T24:,U24:,V24:
A25:,B25:,C25:,D25:,E25:,F25: System,G25: Display,H25: Tên người sử dụng,I25: M,J25:,K25: N,L25:,M25:,N25:,O25:,P25:,Q25: Hiển thị mặc định,R25:,S25:,T25:,U25:,V25:
A26:,B26:,C26:,D26:,E26:,F26: System,G26: Display,H26: Tên đơn vị,I26: M,J26:,K26: N,L26:,M26:,N26:,O26:,P26:,Q26: Hiển thị mặc định,R26:,S26:,T26:,U26:,V26:
A27:,B27:,C27:,D27:,E27:,F27: System,G27: Display,H27: Mã nhân viên,I27: M,J27:,K27: N,L27:,M27:,N27:,O27:,P27:,Q27: Ẩn hiện tùy biến,R27:,S27:,T27:,U27:,V27:
A28:,B28:,C28:,D28:,E28:,F28: System,G28: Display,H28: Đơn vị sử dụng cha,I28: M,J28:,K28: N,L28:,M28:,N28:,O28:,P28:,Q28: Hiển thị mặc định,R28:,S28:,T28:,U28:,V28:
A29:,B29:,C29:,D29:,E29:,F29: System,G29: Display,H29: Email nhân viên,I29: M,J29:,K29: N,L29:,M29:,N29:,O29:,P29:,Q29: Ẩn hiện tùy biến,R29:,S29:,T29:,U29:,V29:
A30:,B30:,C30:,D30:,E30:,F30: System,G30: Display,H30: Địa chỉ đặt TS,I30: O,J30:,K30: N,L30:,M30:,N30:,O30:,P30:,Q30: Ẩn hiện tùy biến,R30:,S30:,T30:,U30:,V30:
A31:,B31:,C31:,D31:,E31:,F31: System,G31: Display,H31: Tầng đặt TS,I31: O,J31:,K31: N,L31:,M31:,N31:,O31:,P31:,Q31: Ẩn hiện tùy biến,R31:,S31:,T31:,U31:,V31:
A32:,B32:,C32:,D32:,E32:,F32: System,G32: Display,H32: Phòng đặt TS,I32: O,J32:,K32: N,L32:,M32:,N32:,O32:,P32:,Q32: Ẩn hiện tùy biến,R32:,S32:,T32:,U32:,V32:
A33:,B33:,C33:,D33:,E33:,F33: System,G33: Display,H33: Ngày bắt đầu bảo hành,I33: O,J33:,K33: N,L33:,M33:,N33:,O33:,P33:,Q33: Ẩn hiện tùy biến,R33:,S33:,T33:,U33:,V33:
A34:,B34:,C34:,D34:,E34:,F34: System,G34: Display,H34: Thời hạn bảo hành,I34: O,J34:,K34: N,L34:,M34:,N34:,O34:,P34:,Q34: Ẩn hiện tùy biến,R34:,S34:,T34:,U34:,V34:
A35:,B35:,C35:,D35:,E35:,F35: System,G35: Display,H35: Ngày kết thúc bảo hành,I35: O,J35:,K35: N,L35:,M35:,N35:,O35:,P35:,Q35: Ẩn hiện tùy biến,R35:,S35:,T35:,U35:,V35:
A36:,B36:,C36:,D36:,E36:,F36: System,G36: Display,H36: Công ty bảo hành,I36: O,J36:,K36: N,L36:,M36:,N36:,O36:,P36:,Q36: Ẩn hiện tùy biến,R36:,S36:,T36:,U36:,V36:
A37:,B37:,C37:,D37:,E37:,F37: System,G37: Display,H37: Tên người liên hệ bảo hành,I37: O,J37:,K37: N,L37:,M37:,N37:,O37:,P37:,Q37: Ẩn hiện tùy biến,R37:,S37:,T37:,U37:,V37:
A38:,B38:,C38:,D38:,E38:,F38: System,G38: Display,H38: Điện thoại người liên hệ,I38: O,J38:,K38: N,L38:,M38:,N38:,O38:,P38:,Q38: Ẩn hiện tùy biến,R38:,S38:,T38:,U38:,V38:
A39:,B39:,C39:,D39:,E39:,F39: System,G39: Display,H39: Ngày bắt đầu sử dụng,I39: O,J39:,K39: N,L39:,M39:,N39:,O39:,P39:,Q39: Ẩn hiện tùy biến,R39:,S39:,T39:,U39:,V39:
A40:,B40:,C40:,D40:,E40: Thông tin kho xuất,F40:,G40:,H40:,I40:,J40:,K40:,L40:,M40:,N40:,O40:,P40:,Q40:,R40:,S40:,T40:,U40:,V40:
A41:,B41:,C41:,D41:,E41:,F41: System/User,G41: Display/Search/Select,H41: Tên kho,I41: M,J41: List,K41: N,L41: 50,M41:,N41:,O41:,P41:,Q41: = Thông tin kho trên RQ cấp/Thanh lý,R41:,S41:,T41:,U41:,V41:
A42:,B42:,C42:,D42:,E42:,F42: System,G42: Display,H42: Địa chỉ kho,I42: M,J42: Text,K42: Y,L42: 50,M42:,N42:,O42:,P42: OMS,Q42:,R42:,S42:,T42:,U42:,V42:
A43:,B43:,C43:,D43:,E43:,F43: System,G43: Display,H43: Quản lý kho,I43: M,J43: Text,K43: N,L43: 50,M43:,N43:,O43:,P43: OMS,Q43:,R43:,S43:,T43:,U43:,V43:
A44:,B44:,C44:,D44:,E44: Thông tin đầu mối nhận hàng,F44:,G44:,H44:,I44:,J44:,K44:,L44:,M44:,N44:,O44:,P44:,Q44:,R44:,S44:,T44:,U44:,V44:
A45:,B45:,C45:,D45:,E45:,F45: User,G45: Input,H45: Đầu mối,I45: M,J45: Text,K45: Y,L45: 50,M45:,N45:,O45:,P45:,Q45:,R45:,S45:,T45:,U45:,V45:
A46:,B46:,C46:,D46:,E46:,F46: User,G46: Input,H46: Số điện thoại,I46: M,J46: Number,K46: Y,L46: 52,M46:,N46:,O46:,P46:,Q46:,R46:,S46:,T46:,U46:,V46:
A47:,B47:,C47:,D47:,E47:,F47: User,G47: Input,H47: Thời gian bàn giao,I47: O,J47: Date,K47: Y,L47: 50,M47:,N47:,O47:,P47:,Q47:,R47:,S47:,T47:,U47:,V47:
A48:,B48:,C48:,D48:,E48: Ghi chú,F48: User,G48: Input,H48: Ghi chú,I48: M,J48: Text,K48: Y,L48: 150,M48:,N48:,O48:,P48:,Q48: = Mã RQ cấp/thanh lý,R48:,S48:,T48:,U48:,V48:
A49:,B49:,C49:,D49:,E49: Hồ sơ đính kèm,F49:,G49:,H49:,I49:,J49:,K49:,L49:,M49:,N49:,O49:,P49:,Q49:,R49:,S49:,T49:,U49:,V49:
A50:,B50:,C50:,D50:,E50:,F50: User,G50: Select,H50: Thêm,I50: M,J50: Button,K50: N,L50:,M50:,N50:,O50:,P50:,Q50:,R50:,S50:,T50:,U50:,V50:
A51:,B51:,C51:,D51:,E51:,F51: User,G51: Select,H51: File,I51: M,J51:,K51: N,L51:,M51:,N51:,O51:,P51:,Q51:,R51:,S51:,T51:,U51:,V51:
A52:,B52:,C52:,D52:,E52:,F52: System/User,G52: Display/Select,H52: Tên thư mục,I52: M,J52:,K52: N,L52:,M52:,N52:,O52:,P52:,Q52:,R52:,S52:,T52:,U52:,V52:
