Sheet: Status
A1: [<<<](→0),B1: STATUS,C1:,D1:,E1:,F1:,G1:,H1:,I1:
A2:,B2:,C2:,D2:,E2:,F2:,G2:,H2:,I2:
A3:,B3: 1,C3: 2,D3:,E3:,F3: 4,G3: 5,H3:,I3:
A4:,B4: Process,C4: Sub-process,D4: PIC,E4: Action,F4: Rq Status,G4:,H4: Asset status,I4: Note
A5:,B5: Cấp tài sản,C5: -,D5:,E5: -,F5: Cấp tài sản,G5: Xuất kho,H5: -,I5:
A6:,B6: Cấp tài sản không ở kho,C6: 1 Tạo yêu cầu,D6: AMP,E6: Lưu,F6: Đang tạo,G6:,H6:,I6:
A7:,B7:,C7:,D7:,E7: Gửi,F7: Chờ xác nhận,G7:,H7:,I7:
A8:,B8:,C8: 2. Xác nhận,D8: BU User,E8: Từ chối,F8: Từ chối,G8:,H8:,I8:
A9:,B9:,C9:,D9:,E9: Xác nhận,F9: Đã xác nhận,G9:,H9: Đang sử dụng,I9: Đã xác nhận >>> Đã nhận tài sản
A10:,B10:,C10:,D10:,E10: Bổ sung thông tin,F10: Bổ sung thông tin,G10:,H10:,I10:
A11:,B11:,C11: 3. Bổ sung TT,D11: AMP,E11: Bổ sung thông tin,F11: Chờ xác nhận,G11:,H11:,I11:
A12:,B12: Cấp tài sản từ kho,C12: 1. Tạo yêu cầu,D12: AMP,E12: Lưu,F12: Đang tạo,G12:,H12:,I12:
A13:,B13:,C13:,D13:,E13: Gửi,F13: Chờ xác nhận,G13:,H13:,I13:
A14:,B14:,C14: 2. Phê duyệt,D14: AM,E14: Từ chối,F14: Từ chối,G14:,H14:,I14:
A15:,B15:,C15:,D15:,E15: Duyệt,F15: Đã xác nhận,G15:,H15:,I15:
A16:,B16:,C16: 3. Tạo yêu cầu,D16: System,E16:,F16: Đã xác nhận,G16: Chờ xuất kho,H16:,I16:
A17:,B17:,C17: 4. Xuất kho,D17: WK,E17: Từ chối,F17: Từ chối,G17: Từ chối,H17:,I17:
A18:,B18:,C18:,D18:,E18: Đồng ý,F18: Đã xác nhận,G18: Chờ phê duyệt,H18:,I18:
A19:,B19:,C19: 5. Phê duyệt,D19: Warehouse Mgr.,E19: Từ chối,F19: Từ chối,G19: Từ chối,H19:,I19:
A20:,B20:,C20:,D20:,E20: Duyệt,F20: Đã xác nhận,G20: Chờ xác nhận,H20:,I20:
A21:,B21:,C21: 6. Nhận hàng,D21: BU User,E21: Từ chối,F21: Từ chối,G21: Từ chối,H21:,I21:
A22:,B22:,C22:,D22:,E22: Xác nhận,F22: Đã xác nhận,G22: Đã nhận tài sản,H22: Đang sử dụng,I22:
A23:,B23: Thanh lý tài sản,C23: -,D23:,E23: -,F23: Thanh lý,G23: Xuất kho,H23:,I23:
A24:,B24: Bán trực tiếp,C24: 1.. Tạo yêu cầu,D24: AMP,E24: Lưu,F24: Đang tạo,G24:,H24:,I24:
A25:,B25:,C25:,D25:,E25: Gửi,F25: Chờ kiểm soát,G25:,H25:,I25:
A26:,B26:,C26: 2. Kiểm soát,D26: Checker,E26: Từ chối,F26: Từ chối,G26:,H26:,I26:
A27:,B27:,C27:,D27:,E27: Yêu cầu bổ sung thông tin,F27: Bổ sung thông tin,G27:,H27:,I27:
A28:,B28:,C28:,D28:,E28: Đồng ý,F28: Chờ phê duyệt,G28:,H28:,I28:
A29:,B29:,C29: 3. Phê duyệt,D29: Approver,E29: Từ chối,F29: Đang tạo,G29:,H29:,I29:
A30:,B30:,C30:,D30:,E30: Yêu cầu bổ sung thông tin,F30: Bổ sung thông tin,G30:,H30:,I30:
A31:,B31:,C31:,D31:,E31: Phê duyệt,F31: Chờ cập nhật kết quả,G31:,H31:,I31:
A32:,B32:,C32: 4. Cập nhật kết quả thanh lý,D32: AMP,E32: Hủy,F32: Đã hủy,G32:,H32:,I32:
A33:,B33:,C33:,D33:,E33: Cập nhật kết quả,F33: Đã cập nhật kết quả thanh lý,G33:,H33: Đã thanh lý,I33:
A34:,B34:,C34: 5. Tạo yêu cầu xuất kho,D34: System,E34: Send,F34: Đã cập nhật kết quả thanh lý,G34: Chờ xuất kho,H34: Đã thanh lý,I34:
A35:,B35:,C35: 5.1 View yêu cầu xuất kho,D35: AMP,E35: Hủy,F35: Đã hủy,G35: Đã hủy,H35: Trả lại trạng thái ban đầu trước khi thanh lý,I35:
A36:,B36:,C36:,D36:,E36:,F36:,G36:,H36:,I36:
A37:,B37:,C37: 6. Tiếp nhận yêu cầu xuất kho,D37: WK,E37: Đồng ý,F37: Đã cập nhật kết quả thanh lý,G37: Chờ phê duyệt,H37: Đã thanh lý,I37:
A38:,B38:,C38: 7. Phê duyệt yêu cầu xuât kho,D38: Warehouse Mgr.,E38: Phê duyệt,F38: Đã cập nhật kết quả thanh lý,G38: Chờ xác nhận,H38: Đã thanh lý,I38:
A39:,B39:,C39: 8. Nhận hàng,D39: AMP,E39: Từ chối,F39: Từ chối,G39: Từ chối,H39: Trả lại trạng thái ban đầu trước khi thanh lý,I39:
A40:,B40:,C40:,D40:,E40: Xác nhận,F40: Đã cập nhật kết quả thanh lý,G40: Đã xác nhận,H40: Đã thanh lý,I40:
A41:,B41: Bán đấu giá,C41: 1.. Tạo yêu cầu,D41: AMP,E41: Lưu,F41: Đang tạo,G41:,H41:,I41:
A42:,B42:,C42:,D42:,E42: Gửi,F42: Chờ kiểm soát,G42:,H42:,I42:
A43:,B43:,C43: 2. Kiểm soát,D43: Checker,E43: Từ chối,F43: Từ chối,G43:,H43:,I43:
A44:,B44:,C44:,D44:,E44: Yêu cầu bổ sung thông tin,F44: Bổ sung thông tin,G44:,H44:,I44:
A45:,B45:,C45:,D45:,E45: Đồng ý,F45: Chờ phê duyệt,G45:,H45:,I45:
A46:,B46:,C46: 3. Phê duyệt,D46: Approver,E46: Từ chối,F46: Đang tạo,G46:,H46:,I46:
A47:,B47:,C47:,D47:,E47: Yêu cầu bổ sung thông tin,F47: Bổ sung thông tin,G47:,H47:,I47:
A48:,B48:,C48:,D48:,E48: Phê duyệt,F48: Chờ cập nhật kết quả,G48:,H48:,I48:
A49:,B49:,C49: 4. Tạo yêu cầu phê duyệt kết quả thanh lý,D49: AMP,E49: Hủy,F49: Đã hủy,G49:,H49:,I49:
A50:,B50:,C50:,D50:,E50: Cập nhật kết quả,F50: Đã cập nhật kết quả thanh lý,G50:,H50:,I50:
A51:,B51:,C51: 5. Kiểm soát kết quả thanh lý,D51: Checker,E51: Từ chối,F51: Từ chối,G51:,H51:,I51:
A52:,B52:,C52:,D52:,E52: Yêu cầu bổ sung thông tin,F52: Bổ sung thông tin,G52:,H52:,I52:
A53:,B53:,C53:,D53:,E53: Đồng ý,F53: Chờ phê duyệt kết quả thanh lý,G53:,H53:,I53:
A54:,B54:,C54: 6. Phê duyệt kết quả thanh lý,D54: Approver,E54: Từ chối,F54: Từ chối,G54:,H54:,I54:
A55:,B55:,C55:,D55:,E55: Yêu cầu bổ sung thông tin,F55: Bổ sung thông tin,G55:,H55:,I55:
