Sheet: Tasklist
A1:,B1:,C1:,D1:,E1:,F1:,G1:,H1:,I1:,J1:,K1:
A2:,B2:,C2:,D2:,E2:,F2:,G2:,H2:,I2:,J2:,K2:
A3:,B3: 1,C3: 2,D3:,E3: 3,F3:,G3: 4,H3: 5,I3: 6,J3: 7,K3:
A4:,B4: Process,C4: Sub-process,D4: Action,E4:,F4: Role,G4: Tasklist Điều chuyển,H4:,I4: Tasklist Kho,J4:,K4:
A5:,B5:,C5:,D5:,E5:,F5:,G5: Cần xử lý,H5: Đã xử lý,I5: Cần xử lý,J5: Đã xử lý,K5:
A6:,B6:,C6: 2.3.1a Tạo yêu cầu điều chuyển,D6: Lưu,E6:,F6: Initator,G6: x,H6:,I6:,J6:,K6:
A7:,B7:,C7:,D7: Gửi,E7:,F7:,G7:,H7: x,I7:,J7:,K7:
A8:,B8:,C8: 2.3.3a Phê duyệt yêu cầu điều chuyển,D8: Từ chối,E8:,F8: Initator,G8: x,H8:,I8:,J8:,K8:
A9:,B9:,C9:,D9:,E9:,F9: BUH,G9:,H9: x,I9:,J9:,K9:
A10:,B10:,C10:,D10: Duyệt,E10:,F10: Initator,G10:,H10: x,I10:,J10:,K10:
A11:,B11:,C11:,D11:,E11:,F11: BUH,G11:,H11: x,I11:,J11:,K11:
A12:,B12:,C12:,D12:,E12:,F12: AMP,G12: x,H12:,I12:,J12:,K12:
A13:,B13:,C13:,D13: Bổ sung thông tin,E13:,F13: Initator,G13: x,H13:,I13:,J13:,K13:
A14:,B14:,C14:,D14:,E14:,F14: BUH,G14:,H14: x,I14:,J14:,K14:
A15:,B15:,C15: 5.2.2a Xác nhận yêu cầu điều chuyển,D15: Từ chối,E15:,F15: Initator,G15: x,H15:,I15:,J15:,K15:
A16:,B16:,C16:,D16:,E16:,F16: BUH,G16:,H16: x,I16:,J16:,K16:
A17:,B17:,C17:,D17:,E17:,F17: AMP,G17:,H17: x,I17:,J17:,K17:
A18:,B18:,C18:,D18: Bổ sung thông tin,E18:,F18: Initator,G18: x,H18:,I18:,J18:,K18:
A19:,B19:,C19:,D19:,E19:,F19: BUH,G19:,H19: x,I19:,J19:,K19:
A20:,B20:,C20:,D20:,E20:,F20: AMP,G20:,H20: x,I20:,J20:,K20:
A21:,B21:,C21:,D21: Xác nhận & Yêu cầu nhập kho,E21: Gửi,F21: Initator,G21: x,H21:,I21:,J21:,K21:
A22:,B22:,C22:,D22:,E22:,F22: BUH,G22:,H22: x,I22:,J22:,K22:
A23:,B23:,C23:,D23:,E23:,F23: AMP,G23:,H23: x,I23:,J23: x,K23:
A24:,B24:,C24:,D24:,E24:,F24: WM,G24:,H24:,I24: x,J24:,K24:
A25:,B25:,C25:,D25: Phê duyệt yêu cầu nhập kho,E25: Từ chối,F25: Initator,G25: x,H25:,I25: x,J25:,K25: Vấn đề về quy trình xử lý
A26:,B26:,C26:,D26:,E26:,F26: BUH,G26:,H26:,I26:,J26:,K26:
A27:,B27:,C27:,D27:,E27:,F27: AMP,G27:,H27:,I27:,J27:,K27:
A28:,B28:,C28:,D28:,E28:,F28: WM,G28:,H28:,I28:,J28:,K28:
A29:,B29:,C29:,D29:,E29: Duyệt,F29:,G29:,H29:,I29:,J29:,K29:
A30:,B30:,C30:,D30: Xác nhận nhập kho,E30: Từ chối,F30:,G30:,H30:,I30:,J30:,K30:
A31:,B31:,C31:,D31:,E31: Xác nhận,F31:,G31:,H31:,I31:,J31:,K31:
A32:,B32:,C32:,D32:,E32:,F32:,G32:,H32:,I32:,J32:,K32:
A33:,B33:,C33:,D33:,E33:,F33:,G33:,H33:,I33:,J33:,K33:
A34:,B34:,C34:,D34:,E34:,F34:,G34:,H34:,I34:,J34:,K34:
